('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         327008 function calls (325501 primitive calls) in 1.452 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.001    0.000    0.953    0.003 /usr/lib/python3.12/socket.py:693(readinto)
        4    0.001    0.000    0.012    0.003 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:792(_find_all)
      413    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
     2699    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
     7116    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     5431    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2598    0.001    0.000    0.002    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
      325    0.001    0.000    0.949    0.003 /usr/lib/python3.12/ssl.py:1095(read)
     5752    0.001    0.000    0.005    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
6104/6097    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2662    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1371(is_empty_element)
       67    0.001    0.000    0.086    0.001 {method 'read' of '_io.BufferedReader' objects}
     2719    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
     3241    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3398    0.001    0.000    0.001    0.000 {built-in method builtins.next}
      325    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2670    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2663    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     2699    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     6675    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
     2328    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       43    0.000    0.000    0.108    0.003 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:1173(read_chunked)
     2551    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2733    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     3408    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.12/urllib/request.py:2505(getproxies_environment)
     2328    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     2662    0.000    0.000    0.000    0.000 /usr/lib/python3.12/_markupbase.py:36(getpos)
      325    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     1909    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2663    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
     2517    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/parser.py:127(clear_cdata_mode)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.12/email/feedparser.py:469(_parse_headers)
      425    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
       68    0.000    0.000    0.869    0.013 {method 'readline' of '_io.BufferedReader' objects}
      579    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      327    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:732(readable)
     1868    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
      428    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       16    0.000    0.000    0.001    0.000 /usr/lib/python3.12/email/message.py:494(get)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:374(urlparse)
       42    0.000    0.000    0.086    0.002 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:1151(_handle_chunk)
       10    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
        6    0.000    0.000    0.002    0.000 /usr/lib/python3.12/email/feedparser.py:216(_parsegen)
      654    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1083(_checkClosed)
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      425    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
       64    0.000    0.000    0.086    0.001 /usr/lib/python3.12/http/client.py:633(_safe_read)
       43    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:1133(_update_chunk_length)
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:301(header_source_parse)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
        1    0.000    0.000    1.452    1.452 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/./financial.py:9(fetch_financial_data)
      329    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
       40    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/_collections.py:300(add)
        2    0.000    0.000    0.034    0.017 /usr/lib/python3.12/http/client.py:213(_read_headers)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:529(get_all)
        2    0.000    0.000    0.874    0.437 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connection.py:485(getresponse)
      2/1    0.000    0.000    1.300    1.300 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/sessions.py:673(send)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/client.py:1292(putheader)
       44    0.000    0.000    0.021    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:469(_decode)
       48    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/_collections.py:257(__getitem__)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.001    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connection.py:369(request)
        2    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/_collections.py:335(extend)
  129/127    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      3/2    0.000    0.000    0.899    0.449 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/sessions.py:159(resolve_redirects)
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      120    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
       45    0.000    0.000    0.109    0.002 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:1044(stream)
      518    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1543(get)
        2    0.000    0.000    0.872    0.436 /usr/lib/python3.12/http/client.py:324(begin)
        2    0.000    0.000    1.183    0.592 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
        2    0.000    0.000    1.184    0.592 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:452(urlsplit)
