('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         398126 function calls (394604 primitive calls) in 1.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      593    0.002    0.000    0.010    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_connection.py:398(_extract_next_receive_event)
     1943    0.002    0.000    0.003    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
     2710    0.002    0.000    0.006    0.000 /usr/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     9899    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2709    0.002    0.000    0.017    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:763(handle_endtag)
     3357    0.002    0.000    0.010    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2303(search)
        2    0.002    0.001    0.002    0.001 {built-in method _codecs.utf_8_decode}
     1424    0.001    0.000    0.002    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
      432    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     1716    0.001    0.000    0.007    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
      922    0.001    0.000    0.004    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
     2170    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      921    0.001    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
        4    0.001    0.000    0.012    0.003 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:792(_find_all)
      275    0.001    0.000    0.183    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
      417    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      279    0.001    0.000    0.002    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_state.py:318(_fire_state_triggered_transitions)
     7721    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      275    0.001    0.000    0.204    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_models.py:884(iter_bytes)
      922    0.001    0.000    0.002    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
       98    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
     2688    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
      275    0.001    0.000    0.186    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_models.py:935(iter_raw)
     5524    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
       61    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_util.py:84(validate)
